item_id	item_name	aspect_id	aspect	opinion	opinion_adv	opinion_adj	phrase	sentimentPolarity	originalReview	source
00002951	galaxy s4 zoom	9	键盘	太小	太	小	键盘  太小	-1	小白到货，还没用到24小时。样子很可爱，比图片感觉好。拿在手里也很有质感。但不知道是我原来用mega 6.3的原因，觉得键盘太小，总是按不对字。。还是这个屏幕得触屏问题？还有后面的镜头，在不使用相机的情况下，它竟然自己启动伸缩，也不知道这属于啥情况！	jd
00002951	galaxy s4 zoom	9	键盘	太小	太	小	键盘  太小	-1	照相特别好~我很满意 唯一不足就是打字键盘太小了很不好打，容易打错~	jd
00002951	galaxy s4 zoom	16	音质	清晰		清晰	音质  清晰	1	手机是没拆包装的原装正品，机身做工很好，拿在手里很有手感，厚度完全不影响手握，1600W的摄像头照相那是相当清晰了，10倍变焦也相当给力了，试用了一下午，有优点也有缺点，但是整体来说很满意。简单说几个优缺点，优点：摄像头给力照相清晰，外观做工不错有手感，屏幕分辨率清晰，通话音质清晰，信号很强。缺点：电池不经用，拍照模式时间长机身会发热，三脚架接口处的堵头容易丢失。	jd
00002951	galaxy s4 zoom	16	音质	清晰		清晰	音质  清晰	1	整体不错，实用性好，音质清晰	jd
00002951	galaxy s4 zoom	16	音质	好		好	音质  好	1	照相清晰，音质好，不错。	jd
00002951	galaxy s4 zoom	16	音质	好		好	音质  好	1	通话质量好电池耐用反应快性价比高音质好软件也不错	jd
00002951	galaxy s4 zoom	16	音质	好		好	音质  好	1	很棒，音质好，但音量小。像素超棒。这款手机眼馋好久了，今天终于到手了，物流很棒态度超好。今天试了试，手机易发热，并且手机上有还多无用软件，这是怎么回事。求解释。	jd
00002951	galaxy s4 zoom	16	音质	好		好	音质  好	1	信号稳定待机时间长性价比高通话质量好系统流畅音质好比较一般分辨率高电池耐用自定义提交	jd
00002951	galaxy s4 zoom	16	音质	好		好	音质  好	1	电池耐用比较一般音质好屏幕大软件也不错待机时间长后盖很漂亮系统流	jd
00002951	galaxy s4 zoom	16	音质	好		好	音质  好	1	外观漂亮，通话质量好，功能齐全，音质好。	jd
00002951	galaxy s4 zoom	16	音质	好		好	音质  好	1	后盖很漂亮分辨率高性价比高音质好反应快系统流畅	jd
00002951	galaxy s4 zoom	16	音质	很好	很	好	音质  很好	1	很强悍的一款手机，像素堪比数码相机，拍照很清晰，最重要的是还能打电话，音质很好，买值了！	jd
00002951	galaxy s4 zoom	16	音质	蛮好	蛮	好	音质  蛮好	1	总体来说还不错，缺点手机太厚，重；优点照相不错.音质蛮好，物流挺快。	jd
00002951	galaxy s4 zoom	16	音质	不错		不错	音质  不错	1	用过一段时间，感觉照相功能突出，系统较快，音质不错，值得推荐。	jd
00002951	galaxy s4 zoom	16	音质	不错		不错	音质  不错	1	拍照神器，音质不错	jd
