item_id	item_name	aspect_id	aspect	opinion	opinion_adv	opinion_adj	phrase	sentimentPolarity	originalReview	source
00002916	ascend p7	9	按键	有点别扭	有点	别扭	按键  有点别扭	-1	还行 比较喜欢 就是个人感觉 按键有点别扭	jd
00002916	ascend p7	9	键盘	太大	太	大	键盘  太大	-1	外观漂亮，用了十几天了，挺好的也不卡，手感不错。 价格太高，虚拟键盘太大，占了屏幕，要是把键盘设计在华为标志哪儿就好了，现在虚拟键盘占屏幕，还浪费了下面那些地方。。 还可以，用着顺手。	zol
00002916	ascend p7	16	语音	清晰		清晰	语音  清晰	1	5寸的手机手感做的很好，小一点的手也能握的很舒服，手机反应快语音清晰发热量也不错，支持优质国货支持华为，希望华为做的更好	jd
00002916	ascend p7	16	语音	清晰		清晰	语音  清晰	1	整体感觉不错，屏幕细腻，显示效果好，接打电话语音清晰。做工有一些小瑕疵不过在能接受的范围内。拍照片的时候在充电中。。。。。	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	外形漂亮，音质不错，上网也快，用了几天还好，支持国产	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	音质不错 像数高 具体的等用过之后才知道	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	音质不错，颜色好看，拍照效果极好	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	音质不错，同样的耳机，低音更好！	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	公正的讲，这款手机做工精细，音质不错，外观漂亮，堪称国产精品，希望华为继续努力，向世界顶级公司努力看齐！让世界刮目相看，中国也能出好产品!~~加油！~	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	刚拿到，在体验中，音质不错，外形漂亮，上个月给老婆大人买p6用着不错，P7应该更不错，相信华为，相信京东，头一次用国产机，主要是冲着任正非，华为是真正为国争光的企业，支持华为，支持任正非	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	真是不错的选择，机身轻薄，款式新颖，颜色纯正漂亮。试了下音质不错，像素高清。待机时间还有待考证，最大的原因是支持国产品牌，要继续保持哦，不要让广大老百姓失忘哈。	jd
00002916	ascend p7	16	音质	不错		不错	音质  不错	1	用着还可以，音质不错。	jd
